45,16
49,30
35,44
50,22
38,9
2,26
50,29
4,23
50,1
38,64
6,53
3,37
7,70
12,47
20,43
2,62
16,53
37,34
14,54
36,67
23,65
16,55
28,52
43,47
18,12
44,74
16,13
21,14
9,37
14,57
18,29
46,15
5,16
2,22
33,48
2,22
15,64
21,19
20,25
48,34
5,46
13,18
35,3
26,11
15,41
15,60
22,72
28,6
49,9
32,26
33,43
49,55
7,44
35,35
39,14
40,63
28,63
34,56
6,50
25,4
35,68
1,9
18,18
43,27
16,25
14,22
35,46
40,40
32,40
6,10
18,4
19,8
38,34
13,46
15,61
48,23
32,44
32,57
28,65
20,67
37,26
8,34
45,39
8,71
2,11
5,44
28,28
35,49
27,68
19,68
50,18
4,38
19,74
34,8
49,3
49,59
8,17
20,2
45,70
11,19
15,23
29,11
36,29
38,19
45,75
12,50
25,37
46,37
14,50
4,69
43,4
49,1
9,24
22,25
49,51
38,45
35,9
31,52
34,70
40,75
13,31
11,74
41,24
15,51
17,69
38,18
43,23
20,19
17,43
49,30
48,31
15,16
12,48
49,29
44,17
42,26
44,6
34,34
42,75
10,66
2,58
1,5
47,39
38,30
37,27
18,8
49,31
3,63
7,1
38,14
17,68
40,8
5,32
19,59
32,72
21,26
19,8
18,14
21,17
15,54
45,44
33,39
44,55
19,35
2,64
16,62
13,2
27,11
49,68
49,38
8,73
39,59
47,2
37,66
3,66
22,69
37,3
15,57
13,21
12,28
3,68
38,59
32,46
5,27
29,17
11,38
13,59
29,70
41,66
30,65
1,37
21,12
21,31
5,17
37,58
45,52
34,47
23,19
11,74
8,26
47,28
16,63
34,70
34,71
24,28
47,28
35,29
19,42
25,46
19,17
26,66
32,60
17,40
42,47
17,25
37,64
37,19
47,48
10,44
25,37
38,12
38,27
42,39
50,23
13,68
38,45
31,69
42,5
37,39
26,11
6,4
31,11
33,8
32,35
23,55
19,69
7,66
25,27
6,22
48,61
27,40
19,33
29,10
12,62
21,65
46,50
4,26
20,53
28,46
36,56
45,41
43,40
26,63
24,55
22,37
48,34
28,54
31,44
34,14
29,39
44,62
3,45
41,54
43,59
25,59
41,38
29,17
47,75
34,64
46,57
34,38
20,70
46,35
6,27
37,61
2,28
3,16
44,6
25,20
36,61
49,52
12,49
35,34
44,26
40,47
46,63
14,62
43,28
22,10
34,27
31,38
3,52
38,34
23,28
18,65
25,31
7,8
39,74
14,56
13,36
30,58
29,10
45,16
5,18
19,39
32,28
30,27
11,36
33,42
45,18
50,39
49,71
6,38
35,13
3,66
5,52
45,16
39,63
47,69
40,42
18,17
50,64
11,10
42,59
45,22
17,55
43,1
25,6
40,48
1,30
26,70
10,38
21,71
25,29
29,29
28,55
38,25
44,58
26,10
36,74
34,69
14,57
28,28
42,66
36,53
2,23
46,30
3,33
2,38
22,21
33,34
11,39
38,45
49,40
7,55
28,50
46,2
37,46
33,33
48,4
6,47
34,66
18,19
42,27
15,34
37,2
36,34
18,17
36,58
1,72
21,24
38,75
8,29
19,67
34,34
40,45
28,29
9,2
40,25
9,37
39,46
13,51
50,41
48,36
34,39
46,67
21,1
33,60
44,51
36,73
44,70
35,63
34,11
24,25
15,25
22,28
30,40
9,60
4,5
50,47
21,68
11,13
28,68
9,42
37,28
8,8
31,15
31,64
47,31
1,65
4,48
10,27
4,40
15,67
42,64
37,61
35,8
28,74
36,39
15,58
49,69
30,69
9,25
38,31
46,26
44,50
3,11
28,59
36,65
5,2
31,22
37,67
32,26
21,39
32,48
7,31
7,19
45,12
3,21
10,56
39,67
49,37
50,6
38,41
28,58
14,65
22,21
9,51
10,53
15,62
46,19
39,21
11,34
27,61
13,30
37,33
34,27
12,55
16,18
45,43
30,66
49,66
19,21
50,64
4,17
49,28
50,27
42,41
6,53
14,41
27,72
16,12
3,64
9,6
2,34
19,72
40,55
12,3
14,68
46,71
24,52
37,3
22,28
22,24
26,53
31,47
48,28
2,48
29,62
42,40
5,69
41,48
43,1
29,21
7,60
14,17
40,26
4,64
11,21
36,52
21,65
29,26
42,57
50,33
35,45
24,35
4,29
43,42
45,8
9,33
40,12
10,54
22,29
42,47
15,13
22,23
5,11
6,18
18,36
40,8
1,10
29,40
17,61
8,31
26,39
49,9
5,22
45,20
34,64
45,35
46,29
8,40
9,13
19,71
14,46
11,31
15,6
21,51
29,51
20,48
12,33
6,59
11,23
10,61
13,65
29,38
29,26
10,48
50,5
18,13
22,16
7,68
16,42
42,3
44,16
35,75
24,20
12,37
14,28
17,66
49,42
34,31
2,54
43,72
45,59
35,39
17,17
10,2
15,17
24,49
25,13
47,4
9,44
2,24
6,53
19,47
37,36
11,67
27,55
44,45
36,66
8,7
27,14
33,19
4,15
10,4
45,51
20,60
31,48
13,34
34,40
42,14
21,5
40,64
1,24
25,43
18,67
47,47
2,64
26,75
47,60
13,69
25,25
37,5
5,31
14,68
25,32
46,14
2,73
34,36
20,61
12,57
36,48
35,1
37,59
39,58
6,20
27,67
15,69
35,7
17,54
39,46
3,44
4,71
49,57
30,5
9,4
30,9
29,37
11,65
33,54
17,24
32,38
40,17
45,3
45,9
14,45
7,51
3,47
36,10
29,57
3,74
10,53
31,6
34,31
16,60
36,62
23,48
20,34
49,41
40,64
3,71
44,36
40,44
46,70
4,72
40,7
15,68
34,27
7,71
45,54
29,37
36,8
21,35
8,38
15,46
33,13
17,54
36,9
6,54
46,3
8,56
17,28
1,47
27,41
49,4
16,3
33,6
15,42
12,58
4,26
21,32
33,35
16,47
39,45
10,42
12,31
2,66
29,62
8,26
4,59
47,46
27,18
15,46
26,19
22,12
45,26
33,44
31,56
5,66
4,31
43,71
18,31
41,69
1,59
26,36
20,67
35,22
21,61
44,31
9,53
5,39
9,4
34,67
38,34
14,62
37,22
14,51
47,75
13,10
22,29
30,56
37,72
38,1
33,28
9,60
44,53
35,28
16,26
39,24
37,70
8,43
26,52
38,9
31,2
19,32
28,56
49,61
6,27
40,16
15,51
12,30
14,35
49,2
30,69
19,44
12,72
20,38
12,2
12,3
11,48
20,48
1,57
13,10
36,68
13,71
28,42
1,6
35,57
16,4
37,55
27,53
33,59
10,46
18,36
30,8
7,57
1,49
14,46
20,39
12,63
16,53
33,33
2,50
47,25
41,35
36,14
16,37
6,53
50,17
29,49
39,18
16,12
41,60
28,28
40,7
19,60
42,67
21,63
2,17
37,40
34,1
34,9
20,72
23,39
27,43
31,13
48,44
4,6
20,38
31,19
6,43
27,55
5,70
18,32
4,22
34,59
25,3
49,58
29,15
39,65
18,3
42,18
25,15
42,19
42,26
23,41
30,38
22,9
24,71
1,35
31,3
22,20
46,63
35,69
31,23
26,14
37,57
45,6
37,23
13,68
5,8
30,56
42,10
9,75
31,64
15,48
9,23
13,25
30,44
17,49
26,69
32,41
42,20
40,64
31,28
20,14
35,9
19,38
23,53
22,58
33,53
16,58
1,66
1,33
26,43
24,12
49,45
20,13
24,4
46,43
17,26
19,19
24,9
47,5
47,57
44,68
8,42
1,61
31,65
27,73
13,28
18,3
45,18
11,8
36,16
2,30
40,65
23,24
16,6
15,68
47,71
25,56
35,43
1,32
30,44
29,46
27,71
16,73
50,26
18,19
46,63
18,54
37,36
6,23
6,52
25,40
29,47
2,24
44,45
18,25
12,60
26,11
33,32
44,65
28,37
16,74
37,5
50,8
30,59
1,17
23,53
16,68
5,3
2,68
46,75
5,31
50,3
1,10
16,16
4,24
30,20
38,48
19,39
41,39
32,70
36,7
30,9
44,40
25,46
3,47
19,74
48,42
20,69
50,53
2,66
40,30
36,52
32,16
48,50
27,44
12,40
14,74
14,75
41,66
9,37
32,53
9,34
48,47
16,15
13,35
27,9
24,58
8,25
19,67
25,50
29,62
5,35
20,64
36,73
14,30
5,9
27,42
12,7
12,20
38,1
46,57
22,5
3,9
3,38
42,72
32,70
20,38
47,61
31,54
4,8
46,25
47,64
19,32
29,70
27,5
6,9
8,37
38,62
20,2
20,21
41,17
7,25
39,13
37,3
32,32
24,39
10,50
6,43
42,43
35,49
27,9
49,58
43,38
40,68
38,8
21,45
16,60
15,51
10,45
4,16
35,42
16,8
31,45
46,37
19,15
50,62
17,57
37,52
13,28
25,20
20,62
15,40
1,66
11,31
19,33
19,18
25,37
48,74
41,65
9,19
30,22
27,42
6,45
13,42
3,46
22,62
6,62
41,66
14,59
5,55
20,39
7,72
41,57
17,65
41,57
44,30
10,18
34,7
15,55
21,32
31,49
19,57
1,42
6,51
34,6
37,3
39,34
43,7
9,44
37,28
13,31
38,23
38,3
32,67
7,55
29,40
19,51
6,56
8,29
48,20
32,49
10,55
2,62
31,57
19,45
47,54
50,3
9,16
46,5
1,73
47,18
28,71
26,15
34,8
17,9
47,60
32,36
37,46
11,2
14,70
22,66
26,41
40,65
27,26
26,69
43,7
19,75
17,31
6,20
12,63
9,39
22,20
34,11
5,39
16,43
1,66
40,7
27,5
36,75
7,49
33,25
30,32
14,64
21,49
8,25
25,72
40,33
38,69
